명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
봄여름가을겨울,nan,강원특별자치도 평창군 봉평면 거품소길 269,사계절이 아름다운 곳/ 평창 봄여름가을겨울펜션으로 여러분을 초대한다. 물안개 피어나는 금당 계곡가에 자리 잡은 봄여름가을겨울펜션은천정 창을 통해 별을 헤며 잠이 들고 새벽녘 새소리와 물소리에 잠이 깨는 힐링과 재충전의 베이스 캠프이다. 커플/ 가족/ 반려견/ 단체/ 워크샵까지 계곡이 흐르는 자연 속에서 즐거움과 휴식/ 행복을 함께 나누시길 바란다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
파인힐 애견펜션,nan,강원특별자치도 강릉시 연곡면 동해대로 4371-27,"안녕하세요! ""파인힐애견펜션""에 오신것을 환영한다! 푸른 소나무 숲 속에서 반려견이 뛰어 놀 수 있는 펜션. 반려견과 견주 모두를 배려한 객실과 넓은 운동장에서 편안하게 지인들과 함께하시길 바란다! 반려견 전용 수영장과 목욕 시설을 비롯한 다양한 부대 시설과 대형견이 들어와도 수용 가능 한 객실. 모든 객실 테라스에 개별 바비큐장까지 겸비한 파인힐애견펜션! 반려견과 편안한 여행을 원하신다면 ""파인힐애견펜션""으로 오세요!",nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
블루앤펫,nan,강원특별자치도 강릉시 창해로350번길 25블루앤펫,블루&펫은 강릉 경포대 옆 강문해변에 위치하고 있다. 강릉 반려견 동반펜션 블루앤펫은 반려동물과 함께할 수 있는 A동과 일반 B동을 같이 운영하고 있다. 호텔같이 화려하고 모든 걸 갖추지는 못했지만 눈길 끌기 위한 겉치장 보다는 넓은 강문해변을 마당 삼아 힘들고 치열했던 일상에서 벗어나 우리의 반려동물과 편안한 잠자리와 힐링 하는 하루를 즐기시길 바란다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
학조리샘말펜션,nan,강원특별자치도 양구군 양구읍 학안로 97-21,일상에서 벗어나 자연과 함께 편안한 휴식처가 되어 주는 곳. 오랜 친구처럼/ 때론 연인처럼/ 언제나 따듯하고 포근한 곳. 독립된 공간에서 살아 숨 쉬는 자연과 즐길 거리/ 바비큐 파티를 즐기며 편안한 휴식을 즐겨보시길 바란다. 학조리 샘말펜션에서 반려견과 함께 그동안에 쌓인 스트레스 모두 날려버리고 소중한 추억과 재충전의 시간을 가져보시길 바란다.,nan,nan,nan,nan,10대,nan,13:00,다음날 12:00,nan,nan,nan,nan
보리네민박,nan,강원특별자치도 인제군 인제읍 자작나무숲길 1061-2,반려견과 함께 복잡한 도시에서 벗어나 자연이 감싸 안고 있는 주택에 머물러 보시길 바란다. 넓고 따듯한 정남향의 단독 주택/ 조용하게 산에 둘러 쌓여 있고 새소리 가득한 이곳. 밤하늘에 쏟아지는 별을 관찰할 수 있다. 보리네민박은 자작나무숲/ 내린천레프팅/ 인제스피디움 근처에 위치해있다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
망상파크펜션,nan,강원특별자치도 동해시 망상길 45-1,망상파크펜션은 동해안 제 1의 해변인 망상해수욕장과 도보 1분 이내의 거리에 위치하고 있으며/ 반려견 동반이 가능하다. 은빛 모래를 밟으며 드넓은 수평선을 바라보며 밀려오는 해풍에 가슴을 열고 드넓은 동해바다의 밀려오는 시원함을 느껴보시길 바란다. 무릉계곡과 천곡천연동굴/묵호등대마을 등 동해안 최대 관광지 명소들을 함께 즐길 수 있어 쉬어가는 하루하루가 여행 후 기억에 남을 것이다. 편안한 휴식과 조용한 추억이 남을 수 있도록 정성을 다하겠다.,nan,nan,nan,nan,- 13대,nan,14:00,다음날 11:00,nan,nan,nan,nan
동쪽바다프리미엄하우스(카페앤라씨),nan,강원특별자치도 동해시 월소택지길 63-2,동해시 감성 숙소 “프리미엄 하우스(카페앤라씨)”다. 여러분의 아름답고 멋진 여행을 위하여 특별한 프라이빗 럭셔리 하우스를 소개한다. 카페앤라씨 프리미엄하우스에서는 품격의 여행을 즐길 수 있다. 멋진 해돋이와 함께 할 수 있다. 럭셔리 카페 같은 공간을 누릴 수 있다. 드넓은 바다를 품을 수 있다. 특히 쉼/ 여유/ 그리고 힐링이 있는 여행을 원하신다면 적극 추천한다.,nan,nan,nan,nan,2대,nan,15:00,다음날 11:00,nan,nan,nan,nan
유알풀빌라펜션,nan,강원특별자치도 원주시 지정면 지정로 912-1,최고의 휴식을 원하신다면/ 최고의 시설을 갖춘 UR POOL VILLA숲이 울창한 풍경 속 힐링 공간 자연과 하나되는 휴식이 기다린다. 모든 객실이 완벽한 독채형 구조로 내집 같은 편안한 휴식을 누리실 수 있는/ 반려견 동반 가능한 유알풀빌라펜션이다.,nan,nan,nan,nan,150대,nan,15:00,다음날 11:00,nan,nan,nan,nan
펜션오라,nan,강원특별자치도 삼척시 근덕면 삼척로 2095,"안녕하세요! 펜션 ""오라""에 오신 여러분을 환영한다. 펜션 오라는 창문 밖으로 장호 해수욕장이 한 눈에 들어온다. 객실에서 보이는 푸른 바다 그리고 깨끗한 공기와 신선한 바다 냄새...마음껏 즐기고 힐링하시길 바란다. 즐거운 여행 되시고 반려견과 함께 좋은 추억을 만들어 가시길 바란다.",nan,nan,nan,nan,18대,nan,15:00,다음날 11:00,nan,nan,nan,nan
꽃내음펜션,nan,강원특별자치도 삼척시 근덕면 용화안길 172,하나 둘 쌓여가는 우리들의 아름다운 추억/ 반려견 동반 가능한 꽃내음 펜션이다. 푸른 바다의 향기와 붉은 꽃내음이 조화로운 이곳/ 펜션의 뒤로는 울창한 산과/ 앞으로는 넓고 푸른 바다가 펼쳐져 있다. 꽃내음을 찾아오신 당신께 싱그러운 텃밭과/ 맑은 공기를 선물한다. 오늘은 자연과 하나 되어 힐링의 시간을 나누시길 바란다.,nan,nan,nan,nan,nan,nan,14:00,다음날 11:00,nan,nan,nan,nan
해마루 펜션,nan,강원특별자치도 삼척시 근덕면 장호1길27,한국의 나폴리 장호/ 해마루펜션은 창가에서 장호 앞바다가 보이는 콘도형 펜션이다. 장호 해수욕장과 도보 1~2분 거리이며/ 수영복을 입고 이동이 가능하다. 상쾌한 바닷바람과 파도를 보며/ 옥상에서 바비큐를 즐길 수 있다. 깔끔한 객실에 반려견 동반이 가능하다. 주변에 장호항과 해수욕장/ 장호어촌체험마을(스노쿨링생태체험/ 투명카누/ 바다레프팅)/ 해신당공원/ 용화레일바이크/ 해상케이블카 등) 다양한 볼거리와 체험을 즐길 수 있다. 쉴 새 없이 이어지는 생활에서 한 번쯤 넓은 바다를 바라보며 가족과 함께 또는 연인과 함께 친구와 함께 행복한 시간을 보내시길 바란다.,nan,nan,nan,nan,객실 당 1대,nan,14:00,다음날 11:00,nan,nan,nan,nan
메이플펜션,nan,강원특별자치도 정선군 남면 자뭇골길 206,정선 펜션 메이플을 찾아주셔서 감사하다. 저희 펜션을 찾아주신 모든 고객 여러분께 감사드리며 항상 행복이 가득하시길 바란다. 저희 정선 펜션 메이플은 반려견 동반이 가능하며/ 최고의 시설과 편안한 서비스로 찾아주시는 여러분에게 안락한 휴식을 보내실 수 있도록 최선의 노력을 다할 것을 약속 드린다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
또바기콘도펜션,nan,강원특별자치도 정선군 남면 덕만길 5-19,또바기콘도에 오신 것을 환영한다. 저희 콘도를 찾아주신 모든 고객 여러분께 감사드리며 항상 행복이 가득하시길 바란다. 저의 또바기콘도는 반려견 동반이 가능하며/ 깔끔한 내부시설/ 고급스러움과 쾌적함을 갖춘 준호텔급 콘도형 펜션이다. 최고의 시설과 편안한 서비스로 찾아주시는 여러분에게 안락한 휴식을 보내실 수 있도록 최선의 노력을 다할 것을 약속 드린다.,nan,nan,nan,nan,nan,nan,14:00,다음날 11:00,nan,nan,nan,nan
바다와펜션,nan,강원특별자치도 강릉시 사천면 해안로 1081,푸른 바다를 한아름 담아가는 곳/ 바다와펜션에 오신 것을 환영한다. 바다와펜션은 반려견 동반이 가능하며/ 전객실 바다 전망이 가능한 오션뷰펜션이다. 고풍스러움이 느껴지는 건물 외관과 앤틱느낌의 인테리어로 꾸며진 객실은 뉴트로 감성을 물씬 느낄 수 있으며/ 언제나 방문해주시는 분들을 위해 청결하게 준비하였다. 일상을 벗어나 여유로움을 즐겨보시길 바란다. 펜션 가까이에 해수욕장이 있어/ 언제든지 바다를 만날 수 있다. 꿈꾸던 행복이 있는 바다와펜션으로 여러분을 초대한다.,nan,nan,nan,nan,10대,nan,15:00,다음날 11:00,nan,nan,nan,nan
사람과자연펜션,nan,강원특별자치도 영월군 주천면 평창강로 67,영월에 위치한 사람과자연펜션이다. 삶의/ (쉼표)를 찾다 지친 일상에서 여행이란 어깨에 짐을 잠시 내려놓을 수 있는/ 쉼표와 같다. 사랑하는 가족과 연인과 함께 하는 여행이라면 더없이 소중한 삶의/ 쉼표가 되겠다. 4계절 항상 다른 모습으로/ 항상 같은 마음으로 여러분의 삶의 작은/ 쉼표가 되겠다. 영월펜션 NO.1 사람 냄새와 자연 향기가 있는 펜션/ 반려견 동반 가능한 펜션 그리고 최고의 룸컨디션과 친절로 보답하겠다.,nan,nan,nan,nan,- 20대,nan,15:00,다음날 11:00,nan,nan,nan,nan
하조대아름들펜션,nan,강원특별자치도 양양군 현북면 검소길 111,동해 바다를 조금 벗어나 작은 언덕을 넘어서면 아름들펜션의 행복한 세상이 열려있다. 아름다운 들/ 아름다운 사람들만이 찾는 펜션 아름(다운시간)들 이다. 이곳에서 오랫동안 간직한 모두의 소중한 추억을 함께 했으면 좋겠다. 작은 언덕을 넘어서면 아름(다운시간)들펜션의 행복한 세상이 열려있다. 소중한 사람들/ 가족들/ 반려견과 함께 아름들펜션에서 행복한 추억 만들고 가시길 바란다.,nan,nan,nan,nan,nan,nan,14:00(15:00/성수기),다음날 11:00,nan,nan,nan,nan
비안단테 펜션,nan,강원특별자치도 춘천시 서면 금산2길 22-4,비안단테 펜션 춘천점은 반려견 동반 가능 독채 한옥 펜션이다. 위치는 춘천역에서 차량으로 10분 거리에 위치해 있으며 조용한 동네에 있어 여유롭게 한옥 분위기를 즐기실 수 있다. 가족/ 연인/ 친구와 함께하는 프라이빗한 여행을 위해 개별 바비큐도 준비해 놓았다. 펜션 앞 자갈밭에서 단독으로 바비큐 파티를 즐겨보시길 바란다. 사랑하는 이들과 함께 한옥에서의 완벽한 하루를 경험해보시길 바란다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
HJ매그놀리아용평호텔앤리조트,nan,강원특별자치도 평창군 대관령면 올림픽로 715,"한국의 백두대간의 한가운데 위치한 용평리조트는 해발 700~1500m의 청정고원에 자리잡고 있으며/ 한국의 알프스라 불리우는 곳으로 서울에서 200km 거리에 있다. 1975년 국내 최초로 현대식 시설을 갖추면서 탄생한 용평리조트는 한국 스키의 메카로 불릴 정도로 국내 스키발전과 대중화에 주역이 되어왔다. 해발 1/458m 발왕산 기슭에 위치하여 연평균 250Cm의 적설량에 11월 중순부터 이듬해 4월초까지 스키를 즐길 수 있는 천혜의 입지 조건을 갖추고 있다. 
자가용&영동고속도로 대관령IC 이용▶ 용평리조트 오시는길 정보 바로가기https://www.yongpyong.co.kr/kor/customer/location/car.do &
대중교통&▶ KTX 진부역 및 무료 셔틀버스 이용정보 바로가기https://www.yongpyong.co.kr/kor/customer/location/ktx01.do ▶ 수도권 셔틀버스(유료/ 경기대원고속) 이용정보 바로가기https://www.yongpyong.co.kr/kor/customer/location/bus01.do ▶ 횡계/강릉 시내버스 이용정보 바로가기https://www.yongpyong.co.kr/kor/customer/location/bus02.do ▶ 동서울/남부터미널 시외버스 정보 바로가기https://www.yongpyong.co.kr/kor/customer/location/bus03.do",nan,nan,nan,nan,[주차장 위치안내] ① 블리스힐 스테이 지하주차장→타워콘도 엘리베이터 연결  ②타워플라자 앞 야외 중앙주차장 이용,nan,15:00,다음날 11:00,nan,nan,nan,nan
프라임호텔[한국관광 품질인증/Korea Quality],055-264-6800,경상남도 창원시 성산구 용지로 102 개나리종합상가4층,창원프라임호텔은 도보 5분 거리에 롯데백화점/ 이마트가 있어 쇼핑을 편하게 할 수 있는 숙소다. 모든 객실에서 넷플릭스를 볼 수 있다. 장기손님을 위해 무료세탁 서비스를 제공하고/ 의류관리기기는 공용으로 사용할 수 있다. 한식과 아메리칸 스타일의 조식을 무료로 맛볼 수 있다.,nan,15,31,양실,가능,불가,14:00,12:00,가능(055-264-6800),http://www.hotelprime.co.kr,가능,있음
에일라호텔[한국관광 품질인증/Korea Quality],0507-1457-0186,경상북도 포항시 북구 중앙로294번길 3,경상북도 포항 죽도시장 근처에 자리한 호텔 에일라는 깔끔하면서도 모던한 인테리어와 최신식 시설을 갖추고 새롭게 오픈한 숙박업소다. 필립스 Hue 플레이&싱크박스와 리클라이너 침대가 있어 특별한 휴식과 편안한 잠자리를 누릴 수 있다.,nan,nan,24,양실,가능,불가,17:00,12:00,가능(0507-1457-0186),https://eilahotel.modoo.at,불가,없음
스테이다로[한국관광 품질인증/Korea Quality],nan,강원특별자치도 양양군 하조대2길 11 스테이다로,스테이다로는 강원도 양양 하조대 해수욕장에서 도보 3~4분 거리에 위치한 펜션이다. 숙소가 앞 뒤 막힌 곳 없이 넓게 뚫려 있어서/ 앞쪽으로는 하조대천 오리떼와 백로가 노는 모습을/ 뒤쪽으로는 넓은 바비큐장을/ 마당쪽으로는 밤/ 감/ 호두/ 사과/ 앵두나무와 논을 바라보며 쉬고 즐기며 힐링할 수 있다. 매일 뽀송뽀송한 침구와 쾌적한 룸 컨디션/ 감성 가득한 인테리어로 손님들에게 다가간다.,nan,6,2,양실,가능,불가,15:00,11:00,가능(010-2313-2840),http://www.staydaro.com,불가,없음
웨이포인트 풀빌라[한국관광 품질인증/Korea Quality],010-8836-1388,경상남도 남해군 남서대로 1803-64,웨이포인트 풀빌라는 경상남도 남해 몽돌 해변가 근처에 자리한다. 한 면이 모두 통유리로 되어 있어서 파노라마처럼 펼쳐지는 에메랄드 바다에서 찬란한 노을로 이어지는 풍경을 모두 담은 공간이다. 객실마다 개별 수영장과 바비큐장이 있어 프라이빗한 휴식을 즐기며 잊지 못할 추억을 쌓을 수 있다.,nan,56,8,양실,가능,가능,15:00,11:00,가능(010-8836-1388),http://www.wpv.co.kr,불가,없음
포트앤포트 풀빌라[한국관광 품질인증/Korea Quality],010-8840-6777,전라남도 여수시 백초길 28-52,포트앤포트 풀빌라는 전라남도 여수에서 가장 높은 곳에 요새와 같이 지어진 펜션으로/ 세계적인 건축가 곽희수가 직접 설계하고 세계건축상과 한국건축문화대상을 여러 차례 수상하였다. 바다가 감싸 안은 예술작품을 느끼며 여행과 휴식을 만끽할 수 있다. 해상케이블카/ 유람선선착장/ 낭만포차거리 등 여수 주요 관광지가 차로 5~10분 거리에 있어 여행에 편리하다.,nan,nan,30,한실/양실,가능,가능,15:00,11:00,가능(010-8840-6777),http://fortnport.com,불가,있음
